fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
24722,-27.120399,0.99904,0.015254,0.041023,-0.001742
24784,-27.1199,0.998748,0.037792,0.03271,-0.001896
24824,-27.120417,0.999176,0.035448,0.019763,-0.000625
24886,-27.121574,0.999875,0.006664,0.014349,0.000794
24947,-27.122107,0.999837,0.007179,0.01657,0.00065
24988,-27.123495,0.99986,0.005331,0.015849,0.000008
25050,-27.126337,0.999861,0.005003,0.015932,-0.000008
25112,-27.129173,0.999841,0.004983,0.017127,-0.000114
25152,-27.130592,0.999809,0.005383,0.018784,-0.000243
25214,-27.133381,0.999721,0.005124,0.023032,-0.00081
25276,-27.134375,0.999301,0.003821,0.037175,-0.001023
25317,-27.135807,0.998954,0.001613,0.045703,0.000396
25379,-27.137278,0.998749,-0.000024,0.049995,0.000953
25440,-27.136282,0.99864,-0.000367,0.052134,0.000625
25481,-27.13698,0.99887,0.00066,0.047522,0.000162
25543,-27.135942,0.999016,0.002143,0.044306,-0.000337
25604,-27.136641,0.999391,0.002643,0.034797,0.000268
25645,-27.137836,0.999906,0.004964,0.012783,0.000189
25748,-27.137737,0.999977,0.005701,0.003704,-0.000045
25810,-27.138201,0.999978,0.00567,0.003389,-0.000013
25871,-27.137997,0.999979,0.005543,0.003389,-0.000015
25912,-27.137047,0.99998,0.005513,0.003131,0.000029
25974,-27.136555,0.99998,0.005571,0.00304,-0.000025
26036,-27.137308,0.99998,0.005642,0.002922,-0.00001
26077,-27.138302,0.99998,0.005626,0.002847,-0.000007
26138,-27.13938,0.99998,0.005637,0.002767,0.000004
26200,-27.139673,0.999981,0.005649,0.002677,-0.000004
26261,-27.140442,0.999981,0.005649,0.002624,-0.000006
26303,-27.140734,0.999981,0.005654,0.002518,-0.000008
26364,-27.141167,0.999981,0.005696,0.002459,0.000018
26426,-27.141211,0.999981,0.00568,0.002321,-0.000027
26467,-27.140722,0.99998,0.0059,0.002335,0.000017
26528,-27.139809,0.999972,0.006595,0.003563,-0.00002
26590,-27.139086,0.999778,0.013041,0.016515,-0.00117
26652,-27.137712,0.999294,0.02443,0.028502,-0.001791
26693,-27.136906,0.998171,0.041192,0.044173,-0.002673
26754,-27.136652,0.995304,0.065451,0.071107,-0.005413
26816,-27.136999,0.990449,0.086539,0.106884,-0.009853
